Original,UMI-tools,AmpUMI,UMIc,NGSReadsTreatment,Nubeam-dedup,BioSeqZip,fastp,pRESTO,CD-HIT-DUP,ParDRe,Minirmd
0,38147,0,6562,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,33993,2,3491,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,30189,1,2634,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,35759,0,3220,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,30209,0,2647,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,38918,1,8898,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,28151,0,2535,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
0,22909,1,2639,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0
